,Unnamed: 0,id,story,post,label
0,26,'552806309540528128',charliehebdo,“@LePoint: #CharlieHebdo : “The cartoonists Charb &amp; cabu are dead.” http://t.co/7USD83cQd2 http://t.co/WGHbLiLFoX”,FALSE
1,27,'552978099357237248',charliehebdo,"Most compelling image I've seen to come out of horrifying events in Paris, courtesy of Banksy. #JeSuisCharlie http://t.co/EKBfbRR3HT",FALSE
2,29,'553587672137334785',charliehebdo,AFP: suspected #CharlieHebdo gunmen have been killed,TRUE
3,30,'553474188259102720',charliehebdo,"BREAKING: Shots fired, hostages taken in manhunt for #CharlieHebdo attackers, police say http://t.co/omBy6Wsgb7 http://t.co/ZbszAHyIzJ",FALSE
4,31,'552811386259386370',charliehebdo,At least 12 dead in the Paris shooting. Updated story and background info: http://t.co/QlPpQ2ss8j #CharlieHebdo http://t.co/DwMlafsD6K,TRUE
5,35,'553505242554175489',charliehebdo,"Suspects in #CharlieHebdo attack spoke to police by phone and said they wanted to die as martyrs, says French MP. http://t.co/bGkMtT3lUF",FALSE
6,36,'553586897168392192',charliehebdo,#BREAKING : Both Charlie Hebdo suspects killed as police storm building (police sources) http://t.co/OYSXRQ9xuv http://t.co/8ICThapo7z,TRUE
7,41,'552792913910833152',charliehebdo,"At least 11 dead in shooting at HQ of #CharlieHebdo in #Paris (police source)
https://t.co/e4dBcNVbvD",TRUE
8,45,'553486439129038848',charliehebdo,BREAKING: French police tell AP suspects in #CharlieHebdo attack have taken a hostage northeast of Paris.,FALSE
9,46,'552848620375261184',charliehebdo,Witnesses say the Charlie Hebdo gunmen identified themselves as members of al-Qaida: http://t.co/WSEe7PGIdY http://t.co/fTzk4xzZIr,FALSE
10,49,'553534838880608256',charliehebdo,#BREAKING Gunman in policewoman killing suspected in new Paris hostage-taking: source,TRUE
11,50,'553590835850514433',charliehebdo,"Hostage-taker in supermarket siege killed, reports say. #ParisAttacks http://t.co/0jxoozr8mN http://t.co/sY4M9Vox3L",TRUE
12,56,'553501357156876290',charliehebdo,"#CharlieHebdo suspects ""prepared to die as martyrs"", they tell police after making contact - French media http://t.co/Qgmn70TXSU",FALSE
13,58,'552996335319007233',charliehebdo,"RT @JeffersonObama: R.I.P. Ahmed Merabet, a French #Muslim Cop, first victim of #CharlieHebdo attack http://t.co/TMQsJCCKB5",FALSE
14,59,'552805488631758849',charliehebdo,"At least 12 killed in today's attack on satirical magazine #CharlieHebdo in Paris, official says. http://t.co/zUfxcG3Rfs",TRUE
15,61,'552821069036670976',charliehebdo,"4 #CharlieHebdo cartoonists killed:

- Charb
- Cabu
- Tignous
- Georges Wolinski

#JeSuisCharlie http://t.co/QbaEYog2S2",FALSE
16,62,'553588178687655936',charliehebdo,Reports: #CharlieHebdo suspects killed http://t.co/rsl4203bcQ,TRUE
17,65,'552785375161499649',charliehebdo,BREAKING: 10 reportedly shot dead at Paris HQ of French weekly Charlie Hebdo http://t.co/5F1DOwzoCQ,TRUE
